SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC),name,network_id,signal,frequency,longitude,latitude
Do,b0:08:75:f9:02:b1,"HUAWEI TECHNOLOGIES CO.,LTD",20,60,-88,-73,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:32:18.097,Do,b0:08:75:f9:02:b1,-77,5180,102.62467281591148,17.982199969696854
Buebery 1,b0:08:75:f9:02:b0,"HUAWEI TECHNOLOGIES CO.,LTD",20,60,-88,-73,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:32:18.097,Buebery 1,b0:08:75:f9:02:b0,-77,5180,102.62467281591148,17.982199969696854
Do,b0:08:75:f9:02:ac,"HUAWEI TECHNOLOGIES CO.,LTD",35,65,-81,-71,WPA2-Personal,CCMP,802.11n,7,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:32:20.254,Do,b0:08:75:f9:02:ac,-63,2442,102.62477560429215,17.982186618530196
Alex3_5G,cc:2d:21:1b:3a:25,"Tenda Technology Co.,Ltd.Dongguan branch",29,57,-84,-74,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:32:21.865,Alex3_5G,cc:2d:21:1b:3a:25,-74,5220,102.62485743355116,17.98351059991851
KK2,14:4d:67:4c:4e:bc,Zioncom Electronics (Shenzhen) Ltd.,18,33,-89,-82,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:32:29.602,KK2,14:4d:67:4c:4e:bc,-45,2422,102.62305863510493,17.98306119744266
KK1,14:4d:67:4c:48:30,Zioncom Electronics (Shenzhen) Ltd.,22,26,-87,-85,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:32:35.680,KK1,14:4d:67:4c:48:30,-76,2422,102.62330052328292,17.983083639330246
OPPO A18,96:91:44:98:cd:5f,Unknown,24,67,-86,-70,OWE,CCMP,802.11ac,11,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:32:41.395,OPPO A18,96:91:44:98:cd:5f,-57,2462,102.62316791645614,17.983164821527897
TTai,14:46:58:94:0f:bc,"HUAWEI TECHNOLOGIES CO.,LTD",18,18,-89,-89,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:32:44.753,TTai,14:46:58:94:0f:bc,-86,2452,102.6243981264227,17.982221589926517
Viengxay,dc:21:e2:97:f8:00,"HUAWEI TECHNOLOGIES CO.,LTD",22,38,-87,-80,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:33:40.369,Viengxay,dc:21:e2:97:f8:00,-80,2422,102.6251451360998,17.981468608422556
Famely,9c:65:ee:3d:34:3f,DZS Inc.,31,46,-83,-77,WPA2-Personal,CCMP,802.11n,10,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:16.767,Famely,9c:65:ee:3d:34:3f,-63,2457,102.62563615469078,17.982823815473083
NUK,30:fb:b8:8f:55:d4,"HUAWEI TECHNOLOGIES CO.,LTD",16,16,-90,-90,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:19.980,NUK,30:fb:b8:8f:55:d4,-84,5180,102.6255088519722,17.9816066534429
V family,06:6e:97:b3:7a:f9,Unknown,33,33,-82,-82,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:22.844,V family,06:6e:97:b3:7a:f9,-80,2412,102.6255088519722,17.9816066534429
NUK,30:fb:b8:8f:55:d0,"HUAWEI TECHNOLOGIES CO.,LTD",43,43,-78,-78,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:28.701,NUK,30:fb:b8:8f:55:d0,-74,2412,102.62554396337806,17.982036335287404
AvaAva,e8:f6:54:7e:7b:68,"HUAWEI TECHNOLOGIES CO.,LTD",26,26,-85,-85,WPA2-Personal,CCMP,802.11ac,10,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:30.677,AvaAva,e8:f6:54:7e:7b:68,-80,2457,102.62559620633492,17.982641715460566
AvaAva,e8:f6:54:7e:7b:6d,"HUAWEI TECHNOLOGIES CO.,LTD",29,29,-84,-84,WPA2-Personal,CCMP,802.11ax,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:30.677,AvaAva,e8:f6:54:7e:7b:6d,-82,5200,102.6255973686134,17.982486772417204
The HUG_5G,5c:64:7a:77:2c:4c,"HUAWEI TECHNOLOGIES CO.,LTD",13,62,-92,-72,OWE,CCMP,802.11ax,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:30.677,The HUG_5G,5c:64:7a:77:2c:4c,-68,5180,102.62613695710922,17.985932300077792
Joung3,14:4d:67:53:9a:ec,Zioncom Electronics (Shenzhen) Ltd.,24,84,-86,-57,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:34.040,Joung3,14:4d:67:53:9a:ec,-63,2412,102.62415172241184,17.986236828182893
SINAKALIN 2,14:4d:67:53:d4:78,Zioncom Electronics (Shenzhen) Ltd.,57,57,-74,-74,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:34.040,SINAKALIN 2,14:4d:67:53:d4:78,-74,2412,102.62554396337806,17.982036335287404
Polk MagniFi Mini-6675.l001,fa:8f:ca:8d:79:9c,Unknown,35,35,-81,-81,Open,,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:36.694,Polk MagniFi Mini-6675.l001,fa:8f:ca:8d:79:9c,-86,2412,102.62554396337806,17.982036335287404
oudorn,e4:a8:b6:bd:f1:d0,"HUAWEI TECHNOLOGIES CO.,LTD",24,24,-86,-86,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:41.581,oudorn,e4:a8:b6:bd:f1:d0,-70,2452,102.62571022396244,17.983502169741865
Bimmmmmm,36:7d:1f:03:5a:80,Unknown,10,24,-94,-86,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:34:48.664,Bimmmmmm,36:7d:1f:03:5a:80,-86,2437,102.62524664435324,17.982658889345128
New MoonGH1,5c:92:5e:2b:d2:34,Zioncom Electronics (Shenzhen) Ltd.,53,72,-75,-68,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:00.074,New MoonGH1,5c:92:5e:2b:d2:34,-59,2412,102.6248031133163,17.98280391838333
NewMoon GH2,14:cc:20:c8:aa:56,"TP-LINK TECHNOLOGIES CO.,LTD.",46,75,-77,-67,WPA2-Personal,CCMP,802.11n,7,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:00.074,NewMoon GH2,14:cc:20:c8:aa:56,-62,2442,102.62316791645614,17.983164821527897
Nou2,5c:92:5e:2b:fa:fc,Zioncom Electronics (Shenzhen) Ltd.,40,80,-79,-64,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:04.247,Nou2,5c:92:5e:2b:fa:fc,-62,2412,102.62480701111,17.982828148922486
Office WiFi,f8:1a:67:d8:c1:2a,"TP-LINK TECHNOLOGIES CO.,LTD.",20,50,-88,-76,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,11","6,9,12,18,24,36,48,22.5",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:24.618,Office WiFi,f8:1a:67:d8:c1:2a,-76,2462,102.62544353775208,17.98330056107596
Latsamee,60:d7:55:e4:48:00,"HUAWEI TECHNOLOGIES CO.,LTD",18,18,-89,-89,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:35.975,Latsamee,60:d7:55:e4:48:00,-86,2417,102.6255973686134,17.982486772417204
Sylivanh_plus,ec:41:18:b5:83:a7,"XIAOMI Electronics,CO.,LTD",35,53,-81,-75,WPA2-Personal,CCMP,802.11n,5,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:43.297,Sylivanh_plus,ec:41:18:b5:83:a7,-76,2432,102.6252766343814,17.98335221766086
TOUY,ac:99:29:72:da:bc,"HUAWEI TECHNOLOGIES CO.,LTD",26,40,-85,-79,WPA2-Personal,CCMP,802.11n,7,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:46.246,TOUY,ac:99:29:72:da:bc,-80,2442,102.62566780917564,17.98309455332936
JOEZAAA,c8:3a:35:32:7b:a0,"Tenda Technology Co., Ltd.",14,18,-91,-89,WPA-Personal,CCMP,802.11n,1,"1,2,5.5,11,18,24,36,54","6,9,12,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:48.088,JOEZAAA,c8:3a:35:32:7b:a0,-80,2412,102.6257041344748,17.983442101799316
BOUACHAN,2c:cf:58:06:3a:e4,"HUAWEI TECHNOLOGIES CO.,LTD",43,43,-78,-78,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:48.088,BOUACHAN,2c:cf:58:06:3a:e4,-72,2462,102.62566780917564,17.98309455332936
Archer D20,ec:08:6b:e0:1e:74,"TP-LINK TECHNOLOGIES CO.,LTD.",22,22,-87,-87,WPA2-Personal,CCMP,802.11n,6,"9,18,36,54","1,2,5.5,11,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:48.088,Archer D20,ec:08:6b:e0:1e:74,-80,2437,102.6252766343814,17.98335221766086
Jenna,5c:64:7a:62:19:44,"HUAWEI TECHNOLOGIES CO.,LTD",22,75,-87,-67,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:52.281,Jenna,5c:64:7a:62:19:44,-64,5180,102.6257181240996,17.98403229542357
Jenna,5c:64:7a:62:19:40,"HUAWEI TECHNOLOGIES CO.,LTD",26,60,-85,-73,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:52.281,Jenna,5c:64:7a:62:19:40,-64,2452,102.62583380079356,17.98487514750571
SPAAS,b0:08:75:f9:7c:e8,"HUAWEI TECHNOLOGIES CO.,LTD",26,72,-85,-68,WPA2-Personal,CCMP,802.11n,5,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:52.281,SPAAS,b0:08:75:f9:7c:e8,-76,2432,102.6257038611082,17.98433609212015
SPAAS,b0:08:75:f9:7c:ed,"HUAWEI TECHNOLOGIES CO.,LTD",14,46,-91,-77,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:52.281,SPAAS,b0:08:75:f9:7c:ed,-75,5180,102.62570194240536,17.984308567862463
HUAWEI-5G-YABd,b0:08:75:f9:7c:ec,"HUAWEI TECHNOLOGIES CO.,LTD",14,46,-91,-77,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:35:56.517,HUAWEI-5G-YABd,b0:08:75:f9:7c:ec,-75,5180,102.62570194240536,17.984308567862463
Nokyoong36,18:3d:5e:c4:7d:f0,"HUAWEI TECHNOLOGIES CO.,LTD",31,72,-83,-68,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:01.387,Nokyoong36,18:3d:5e:c4:7d:f0,-63,2462,102.6252184283956,17.983396397927994
Alex3,cc:2d:21:1b:3a:21,"Tenda Technology Co.,Ltd.Dongguan branch",46,46,-77,-77,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:06.884,Alex3,cc:2d:21:1b:3a:21,-76,2437,102.62646182131512,17.986717865976065
AndroidShare_78,b2:c1:df:34:42:17,Unknown,43,50,-78,-76,WPA2-Personal,CCMP,802.11n,3,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:06.884,AndroidShare_78,b2:c1:df:34:42:17,-72,2422,102.6252184283956,17.983396397927994
Alex1,cc:2d:21:1b:35:e1,"Tenda Technology Co.,Ltd.Dongguan branch",43,75,-78,-67,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:06.884,Alex1,cc:2d:21:1b:35:e1,-67,2417,102.62464214576532,17.983565094726167
khongkhaun,e8:6e:44:dc:74:3c,zte corporation,38,80,-80,-65,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:11.687,khongkhaun,e8:6e:44:dc:74:3c,-65,2452,102.6256648338896,17.98392209304697
N-Z,cc:29:bd:68:83:84,zte corporation,40,70,-79,-69,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:11.687,N-Z,cc:29:bd:68:83:84,-58,2437,102.62592029220328,17.985252892805853
Home Connect,00:1e:a8:66:37:56,"Datang Mobile Communications Equipment CO.,LTD",43,60,-78,-73,WPA2-Personal,CCMP,802.11ax,6,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:18.123,Home Connect,00:1e:a8:66:37:56,-86,2437,102.62482270738404,17.983506812351674
UNITEL_Neerada teacher,24:43:e2:3f:77:07,DASAN Network Solutions,22,85,-87,-55,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:18.123,UNITEL_Neerada teacher,24:43:e2:3f:77:07,-44,2462,102.6257181240996,17.98403229542357
vivo V30,92:66:7b:da:98:2d,Unknown,18,22,-89,-87,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:18.123,vivo V30,92:66:7b:da:98:2d,-80,2412,102.62482270738404,17.983506812351674
Alex1_5G,cc:2d:21:1b:35:e5,"Tenda Technology Co.,Ltd.Dongguan branch",33,43,-82,-78,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:22.774,Alex1_5G,cc:2d:21:1b:35:e5,-78,5745,102.62482270738404,17.983506812351674
OPPO A60,02:8c:30:83:c9:e0,Unknown,50,50,-76,-76,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:25.684,OPPO A60,02:8c:30:83:c9:e0,-80,2412,102.62450725097564,17.98358508666825
Unitel,f4:28:53:f0:e4:5c,Zioncom Electronics (Shenzhen) Ltd.,43,46,-78,-77,WPA2-Personal,CCMP,802.11ac,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:25.684,Unitel,f4:28:53:f0:e4:5c,-70,2412,102.62336636366948,17.984338388060873
Yazar,e8:6e:44:dd:88:90,zte corporation,35,50,-81,-76,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:25.684,Yazar,e8:6e:44:dd:88:90,-64,2447,102.62474400106518,17.98419563342803
Touy,ac:99:29:8e:2e:70,"HUAWEI TECHNOLOGIES CO.,LTD",43,43,-78,-78,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:34.223,Touy,ac:99:29:8e:2e:70,-62,5180,102.62428763410436,17.98356699825642
Touy,ac:99:29:8e:2e:6c,"HUAWEI TECHNOLOGIES CO.,LTD",46,46,-77,-77,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:34.223,Touy,ac:99:29:8e:2e:6c,-68,2462,102.62439775073732,17.983614332942093
UNITEL_GPON_77E678,d0:96:fb:77:e6:7f,DZS Inc.,38,46,-80,-77,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:36:45.380,UNITEL_GPON_77E678,d0:96:fb:77:e6:7f,-64,2417,102.6261332011814,17.985955925760262
The HUG,06:0d:9e:96:0b:ac,Unknown,43,87,-78,-51,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:24.988,The HUG,06:0d:9e:96:0b:ac,-63,2412,102.627379874819,17.986949895073902
Mee,40:7d:0f:e6:66:94,"HUAWEI TECHNOLOGIES CO.,LTD",40,83,-79,-58,WPA2-Personal,CCMP,802.11n,2,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:31.199,Mee,40:7d:0f:e6:66:94,-39,2417,102.62617789822724,17.986016778929752
Joker99,60:53:75:5d:cd:e5,"HUAWEI TECHNOLOGIES CO.,LTD",13,50,-92,-76,WPA2-Personal,CCMP,802.11ax,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:31.199,Joker99,60:53:75:5d:cd:e5,-74,5200,102.62607468233873,17.98453025113821
Sylivanh,18:3d:5e:c4:6d:24,"HUAWEI TECHNOLOGIES CO.,LTD",57,57,-74,-74,WPA2-Personal,CCMP,802.11n,5,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:31.199,Sylivanh,18:3d:5e:c4:6d:24,-74,2432,102.62571471299069,17.983862615520327
Shanghai fanyuan,e8:6e:44:dd:a7:26,zte corporation,33,50,-82,-76,WPA2-Personal,CCMP,802.11n,4,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:36.534,Shanghai fanyuan,e8:6e:44:dd:a7:26,-70,2427,102.6257181240996,17.98403229542357
Chanthala,04:e7:95:3c:b8:74,"HUAWEI TECHNOLOGIES CO.,LTD",33,75,-82,-67,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:36.534,Chanthala,04:e7:95:3c:b8:74,-61,2462,102.6259446233165,17.985468408113473
Bunker-zone,94:98:69:3b:40:5e,zte corporation,40,67,-79,-70,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:40.213,Bunker-zone,94:98:69:3b:40:5e,-53,2452,102.62585909246812,17.984993351449415
@LTC_WIFI_auto,04:f9:38:8f:90:e1,"HUAWEI TECHNOLOGIES CO.,LTD",40,83,-79,-58,WPA2-Enterprise,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:40.213,@LTC_WIFI_auto,04:f9:38:8f:90:e1,-61,2412,102.62585909246812,17.984993351449415
Thepphavong,d0:96:fb:a2:24:c7,DZS Inc.,18,20,-89,-88,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:40.213,Thepphavong,d0:96:fb:a2:24:c7,-80,2447,102.62577689824136,17.983845389317167
Chanthala 5G,04:e7:95:3c:b8:78,"HUAWEI TECHNOLOGIES CO.,LTD",31,70,-83,-69,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:45.385,Chanthala 5G,04:e7:95:3c:b8:78,-69,5745,102.62550657520018,17.983972849141534
Tonhuk 5G,5c:64:7a:c0:87:48,"HUAWEI TECHNOLOGIES CO.,LTD",24,43,-86,-78,WPA2-Personal,CCMP,802.11ax,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:45.385,Tonhuk 5G,5c:64:7a:c0:87:48,-79,5180,102.62585909246812,17.984993351449415
@LTC_WIFI,04:f9:38:8f:90:e0,"HUAWEI TECHNOLOGIES CO.,LTD",40,83,-79,-59,Open,,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:45.385,@LTC_WIFI,04:f9:38:8f:90:e0,-62,2412,102.62585909246812,17.984993351449415
HuaweiAPMgt04:F9:38:8F:7C:A0,04:f9:38:8f:7c:af,"HUAWEI TECHNOLOGIES CO.,LTD",31,82,-83,-61,Open,,802.11n,6,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:45.385,HuaweiAPMgt04:F9:38:8F:7C:A0,04:f9:38:8f:7c:af,-62,2437,102.62583380079356,17.98487514750571
Ven,04:e7:95:3c:71:74,"HUAWEI TECHNOLOGIES CO.,LTD",26,75,-85,-67,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:45.385,Ven,04:e7:95:3c:71:74,-77,5745,102.62550657520018,17.983972849141534
BEER-69,6e:14:6e:71:ea:24,Unknown,20,57,-88,-74,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:51.533,BEER-69,6e:14:6e:71:ea:24,-80,5745,102.62621010837373,17.98482577275887
BEER-69,6c:14:6e:71:ea:20,"HUAWEI TECHNOLOGIES CO.,LTD",24,29,-86,-84,WPA2-Personal,CCMP,802.11n,7,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:51.533,BEER-69,6c:14:6e:71:ea:20,-80,2442,102.62641914136034,17.985241220849876
Joker99,60:53:75:5d:cd:e0,"HUAWEI TECHNOLOGIES CO.,LTD",40,70,-79,-69,WPA2-Personal,CCMP,802.11ac,10,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:59.622,Joker99,60:53:75:5d:cd:e0,-66,2457,102.62621010837373,17.98482577275887
TPC,14:46:58:e7:65:58,"HUAWEI TECHNOLOGIES CO.,LTD",20,33,-88,-82,WPA2-Personal,CCMP,802.11ac,149,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:37:59.622,TPC,14:46:58:e7:65:58,-86,5745,102.62583380079356,17.98487514750571
Tonhuk 2.4G,5c:64:7a:c0:87:44,"HUAWEI TECHNOLOGIES CO.,LTD",53,57,-75,-74,WPA2-Personal,CCMP,802.11ax,1,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0,0,0,0,0,0,0,2025-02-02,03:38:02.749,Tonhuk 2.4G,5c:64:7a:c0:87:44,-74,2412,102.62583380079356,17.98487514750571
